Diffusion,Seeding,Clear,Score
0.0,0.0,0.0,-0.0190683
0.0,0.0,0.1,-0.0190683
0.0,0.0,0.2,-0.0190683
0.0,0.0,0.30000000000000004,-0.0190683
0.0,0.0,0.4,-0.0190683
0.0,0.0,0.5,-0.0190683
0.0,0.0,0.6000000000000001,-0.0190683
0.0,0.0,0.7000000000000001,-0.0190683
0.0,0.0,0.8,-0.0190683
0.0,0.0,0.9,-0.0190683
0.0,0.0,1.0,-0.0190683
0.0,0.01,0.0,0.36829999999999996
0.0,0.01,0.1,0.3101954
0.0,0.01,0.2,-0.019146299999999998
0.0,0.01,0.30000000000000004,-0.0197496
0.0,0.01,0.4,-0.019066800000000002
0.0,0.01,0.5,-0.019139700000000003
0.0,0.01,0.6000000000000001,-0.0190683
0.0,0.01,0.7000000000000001,-0.019071900000000003
0.0,0.01,0.8,-0.0190144
0.0,0.01,0.9,-0.0196237
0.0,0.01,1.0,-0.0190683
0.0,0.02,0.0,0.36829999999999996
0.0,0.02,0.1,0.31412249999999997
0.0,0.02,0.2,-0.0161124
0.0,0.02,0.30000000000000004,-0.0192009
0.0,0.02,0.4,-0.0188413
0.0,0.02,0.5,-0.019244900000000002
0.0,0.02,0.6000000000000001,-0.019631299999999997
0.0,0.02,0.7000000000000001,-0.019857299999999998
0.0,0.02,0.8,-0.0190759
0.0,0.02,0.9,-0.0190683
0.0,0.02,1.0,-0.0194735
0.0,0.03,0.0,0.36829999999999996
0.0,0.03,0.1,0.3293585
0.0,0.03,0.2,-0.0210233
0.0,0.03,0.30000000000000004,-0.019441800000000002
0.0,0.03,0.4,-0.0189246
0.0,0.03,0.5,-0.0192336
0.0,0.03,0.6000000000000001,-0.0194613
0.0,0.03,0.7000000000000001,-0.018888299999999997
0.0,0.03,0.8,-0.0191539
0.0,0.03,0.9,-0.0190576
0.0,0.03,1.0,-0.018982299999999997
0.0,0.04,0.0,0.36829999999999996
0.0,0.04,0.1,0.3063212
0.0,0.04,0.2,-0.019422599999999998
0.0,0.04,0.30000000000000004,-0.0196421
0.0,0.04,0.4,-0.020875599999999998
0.0,0.04,0.5,-0.0194896
0.0,0.04,0.6000000000000001,-0.019438999999999998
0.0,0.04,0.7000000000000001,-0.0188199
0.0,0.04,0.8,-0.019615900000000002
0.0,0.04,0.9,-0.0190643
0.0,0.04,1.0,-0.0195308
0.0,0.05,0.0,0.36829999999999996
0.0,0.05,0.1,0.3296172
0.0,0.05,0.2,0.2753317
0.0,0.05,0.30000000000000004,-0.0199147
0.0,0.05,0.4,-0.0195756
0.0,0.05,0.5,-0.0196894
0.0,0.05,0.6000000000000001,-0.0194732
0.0,0.05,0.7000000000000001,-0.0196879
0.0,0.05,0.8,-0.019450400000000003
0.0,0.05,0.9,-0.0190005
0.0,0.05,1.0,-0.0194489
0.0,0.06,0.0,0.36829999999999996
0.0,0.06,0.1,0.3063281
0.0,0.06,0.2,0.2791917
0.0,0.06,0.30000000000000004,0.1469916
0.0,0.06,0.4,-0.019775599999999997
0.0,0.06,0.5,-0.0189768
0.0,0.06,0.6000000000000001,-0.020080200000000003
0.0,0.06,0.7000000000000001,-0.019467099999999998
0.0,0.06,0.8,-0.0199578
0.0,0.06,0.9,-0.0193984
0.0,0.06,1.0,-0.0191447
0.0,0.07,0.0,0.36829999999999996
0.0,0.07,0.1,0.32580929999999997
0.0,0.07,0.2,0.25980080000000005
0.0,0.07,0.30000000000000004,-0.021272
0.0,0.07,0.4,-0.021272700000000002
0.0,0.07,0.5,-0.019252000000000002
0.0,0.07,0.6000000000000001,-0.0195687
0.0,0.07,0.7000000000000001,-0.020186199999999998
0.0,0.07,0.8,-0.0194615
0.0,0.07,0.9,-0.019627900000000004
0.0,0.07,1.0,-0.0195568
0.0,0.08,0.0,0.36829999999999996
0.0,0.08,0.1,0.3293585
0.0,0.08,0.2,0.23279249999999996
0.0,0.08,0.30000000000000004,0.15866699999999997
0.0,0.08,0.4,-0.020041800000000002
0.0,0.08,0.5,-0.0191725
0.0,0.08,0.6000000000000001,-0.019669799999999998
0.0,0.08,0.7000000000000001,-0.0212368
0.0,0.08,0.8,-0.0184866
0.0,0.08,0.9,-0.0198102
0.0,0.08,1.0,-0.019166700000000002
0.0,0.09,0.0,0.36829999999999996
0.0,0.09,0.1,0.3219162
0.0,0.09,0.2,0.2402393
0.0,0.09,0.30000000000000004,0.1739061
